stargazers_count,pushed_days_ago,created_days_ago,count_files,commits,ql,count_developers,count_methods,forks_count,origin,address,default_branch,updated_days_ago,exception,files,methods,is_sparql,n_sha_query,active_developers,active_files,active_methods,query_activity,query_commits
0,246,292,81.0,15.0,cypher,3.0,124.0,0,org.neo4j+neo4j-filename:pom.xml,ruddy32/thorntail-deltaspike,master,246,,81.0,124.0,0,,0.0,0.0,0.0,0.0,0.0
0,1343,1343,20.0,2.0,cypher,1.0,120.0,0,org.neo4j+neo4j-filename:pom.xml & org.neo4j+neo4j-cypher-filename:pom.xml & org.neo4j+neo4j-cypher-dsl-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,BenniG82/equipment-backend,master,1343,,20.0,120.0,0,,0.0,0.0,0.0,0.0,0.0
1,2480,2492,48.0,51.0,cypher,4.0,189.0,1,org.neo4j+neo4j-filename:pom.xml,moviepilot/sheldon_compactor,master,1978,,48.0,189.0,0,,0.0,0.0,0.0,0.0,0.0
1,2802,2835,100.0,20.0,cypher,2.0,182.0,0,org.neo4j+neo4j-filename:pom.xml,ppalazon/serinus,master,1985,,100.0,182.0,0,,0.0,0.0,0.0,0.0,0.0
0,517,517,242.0,3.0,sparql,2.0,434.0,0,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml,mangadul/sdmx,master,517,,242.0,434.0,1,,0.0,0.0,0.0,0.0,0.0
0,1010,1010,21.0,3.0,cypher,1.0,8.0,0,org.neo4j+neo4j-filename:pom.xml,kannukartikeya/neo4j-boot-example,master,1010,,21.0,8.0,0,,0.0,0.0,0.0,0.0,0.0
1,432,797,155.0,149.0,sparql,2.0,83.0,2,org.openrdf.sesame+sesame-filename:pom.xml,Eurohelp/web-rrhh,master,432,,155.0,83.0,1,27.0,1.0,0.0,5.0,0.18120805369127516,27.0
28,6,1361,3874.0,770.0,cypher,20.0,3801.0,14,org.neo4j+neo4j-extension:gradle,reflectoring/coderadar,master,8,,3874.0,3801.0,0,,0.0,0.0,0.0,0.0,0.0
0,1064,1064,6165.0,4.0,sparql,2.0,13941.0,0,org.apache.jena+jena-filename:pom.xml,tomfisher/timbus-context-population-tools-tacet,master,1064,,6165.0,13941.0,1,1.0,1.0,0.0,15.0,0.25,1.0
0,1415,1415,25.0,2.0,cypher,1.0,54.0,0,org.neo4j+neo4j-filename:pom.xml,jfpetri/citcase,master,1415,,25.0,54.0,0,,0.0,0.0,0.0,0.0,0.0
0,635,1423,610.0,13.0,sparql,4.0,159.0,0,org.apache.jena+jena-filename:build.xml,shereefsakr/shereefsakr-experiments,master,951,,610.0,159.0,1,1.0,1.0,0.0,1.0,0.07692307692307693,1.0
0,1423,1423,43.0,5.0,cypher,2.0,31.0,0,org.neo4j+neo4j-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,balancin/routeTrace,master,1423,,43.0,31.0,0,,0.0,0.0,0.0,0.0,0.0
0,506,951,4613.0,3031.0,sparql,65.0,2464.0,0,org.apache.jena+jena-core-filename:pom.xml & org.apache.jena+jena-filename:pom.xml & org.apache.jena+jena-arq-filename:pom.xml,MAX-UMD/StackV.community,Release-R1801-Final,167,,4613.0,2464.0,1,434.0,24.0,366.0,90.0,0.14318706697459585,434.0
0,2320,2331,520.0,27.0,cypher,2.0,261.0,0,org.neo4j+neo4j-filename:pom.xml & org.neo4j+neo4j-cypher-filename:pom.xml & org.neo4j+cypher-filename:pom.xml,h-t-ren/pkm,master,2320,,520.0,261.0,0,,0.0,0.0,0.0,0.0,0.0
4,25,2011,77.0,218.0,cypher,3.0,198.0,7,org.neo4j+neo4j-filename:pom.xml,datanucleus/datanucleus-neo4j,master,25,,77.0,198.0,0,,0.0,0.0,0.0,0.0,0.0
0,85,380,468.0,69.0,cypher,4.0,206.0,1,org.neo4j+neo4j-filename:pom.xml,Hydra-intranet/hydra-app,master,99,,468.0,206.0,0,1.0,1.0,0.0,1.0,0.014492753623188406,1.0
0,596,643,441.0,6.0,cypher,2.0,3045.0,0,org.neo4j+neo4j-filename:pom.xml,epochArch/Kuroro,master,597,,441.0,3045.0,0,,0.0,0.0,0.0,0.0,0.0
4,1756,2192,794.0,58.0,sparql,6.0,5907.0,0,org.apache.stanbol+org.apache.stanbol-filename:pom.xml,fusepool/fusepool-sma,master,1424,,794.0,5907.0,1,12.0,2.0,0.0,1.0,0.20689655172413793,12.0
9,927,1016,28.0,59.0,cypher,4.0,277.0,2,org.neo4j+neo4j-filename:pom.xml,ElasticT3am/ast-generator,master,230,,28.0,277.0,0,2.0,1.0,0.0,1.0,0.03389830508474576,2.0
11,51,1074,130.0,152.0,cypher,5.0,1077.0,6,org.neo4j+neo4j-filename:pom.xml,knowbi/knowbi-pentaho-pdi-neo4j-output,master,49,,130.0,1077.0,0,5.0,1.0,0.0,1.0,0.03289473684210526,5.0
0,63,158,12.0,9.0,cypher,3.0,29.0,0,org.neo4j+neo4j-filename:pom.xml,leolee1993atlive/neo4jimport,master,63,,12.0,29.0,0,5.0,1.0,0.0,8.0,0.5555555555555556,5.0
0,536,544,33.0,9.0,sparql,1.0,52.0,0,org.apache.jena+jena-extension:gradle,trellis-ldp-archive/trellis-sample-app,master,163,,33.0,52.0,1,,0.0,0.0,0.0,0.0,0.0
0,1331,1427,442.0,58.0,cypher,3.0,191.0,1,org.neo4j+neo4j-filename:pom.xml,sim51/neo4j-dih,master,1427,,442.0,191.0,0,5.0,1.0,0.0,4.0,0.08620689655172414,5.0
0,961,962,395.0,9.0,sparql,2.0,4.0,0,org.apache.jena+jena-filename:pom.xml,vincentduan/RDF-JENA,master,962,,395.0,4.0,1,,0.0,0.0,0.0,0.0,0.0
